# link=https://github.com/ronnywang/postcode
# data_time=2012-09-11
# data_source=http://www.post.gov.tw/post/internet/down/index.html?ID=190108
# description=三碼郵遞區號
#ZIPCODE,CITY,AREA,ROAD,CMP_LABLE,EVEN,LANE,LANE1,ALLEY,ALLEY1,NO_BGN,NO_BGN1,NO_END,NO_END1,FLOOR,FLOOR1,SCOOP,ROAD_NO,EXP,RMK
112,台北市,北投區,一心街,0,,,,0,,,0,,0,,,全,000301,,0000000000
104,台北市,中山區,一江街,0,,,,0,,,0,,0,,,全,000481,,0000000000
116,台北市,文山區,一壽街,0,,,,0,,,0,,0,,,全,000841,,0000000000
112,台北市,北投區,一德街,0,,,,0,,,0,,0,,,全,000901,,0000000000
100,台北市,中正區,八德路１段,0,,,,0,,,0,,0,,,全,009631,,0000000000
106,台北市,大安區,八德路２段,6,1,,,0,,1,0,55,0,,,"單   1號至  55號",009661,"     　",0001000000
106,台北市,大安區,八德路２段,7,2,,,0,,2,0,34,0,,,"雙   2號至  34號",009661,,0002000000
104,台北市,中山區,八德路２段,6,1,,,0,,57,0,345,0,,,"單  57號至 345號",009661,,0057000000
106,台北市,大安區,八德路２段,Y,2,57,0,0,0,0,0,0,,,,"　  57巷雙全",009661,,0057000000
104,台北市,中山區,八德路２段,X,1,57,0,0,0,0,0,0,,,,"　  57巷單全",009661,,0057000000
